country_20230124,ISO,region,subregion,Income.Group.,retractions,citabledocuments_1996_2021,mean_democracy_2008_2021,ongoing_nonviolent_campaign,GDP_pc_mean_1960_2022,HDI_mean_1990_2021,industry_share_mean_1960_2022,length_of_last_leader_tenure_2015,muslim_proportion,top_universities_shanghai_2022,plurality
Indonesia,IDN,Asia,South-eastern Asia,Lower middle ,117,256614,6.630769231,0,1397.643732,0.631375,41.88074558,2,43.4,0,0
Iran,IRN,Asia,Southern Asia,Lower middle ,1097,707897,2.201538462,1,2682.077021,0.7143125,39.21110885,26,97.9,11,1
Iraq,IRQ,Asia,Western Asia,NA,88,77910,3.972307692,0,2528.785811,0.61078125,57.93822219,2,95.8,0,0
Ireland,IRL,Europe,Northern Europe,High ,72,231551,8.916153846,0,26358.8582,0.864375,31.16071622,5,0,7,0
Israel,ISR,Asia,Western Asia,NA,100,415893,7.696153846,0,22907.23178,0.86534375,20.87790107,7,8,7,0
Italy,ITA,Europe,Southern Europe,High ,671,1983062,7.813846154,0,17761.4755,0.85465625,23.58422684,2,0.1,46,0
Jamaica,JAM,Americas,Latin America and the Caribbean,Upper middle ,1,6984,7.233076923,0,2621.893793,0.6894375,21.37754331,4,0.1,0,1
Japan,JPN,Asia,Eastern Asia,High ,1323,3035507,8.056923077,0,23157.17574,0.88953125,29.9783665,4,0,32,0
Jordan,JOR,Asia,Western Asia,Upper middle ,40,58789,3.807692308,0,2090.347411,0.69434375,22.67796747,17,93,1,1
Kazakhstan,KAZ,Asia,Central Asia,Upper middle ,86,39708,3.111538462,0,5833.655996,0.7354375,34.75344918,26,47,0,0
Kenya,KEN,Africa,Sub-Saharan Africa,Lower middle ,19,44630,5.026153846,0,604.8210925,0.51971875,16.9986716,3,6,0,1
Kiribati,KIR,Oceania,Micronesia,NA,0,100,NA,0,945.9122612,0.599409091,11.03348337,NA,0,0,NA
Kuwait,KWT,Asia,Western Asia,NA,19,31092,3.799230769,0,20420.73047,0.7906875,62.27715931,10,95.1,0,1
Kyrgyzstan,KGZ,Asia,Central Asia,Lower middle ,22,3767,4.655384615,0,774.7467336,0.64903125,24.68399547,5,70,0,NA
Laos,LAO,Asia,South-eastern Asia,NA,1,3441,2.156923077,0,959.7189378,0.51553125,24.22330345,10,1,0,1
Latvia,LVA,Europe,Northern Europe,High ,7,32056,7.250769231,0,10947.15014,0.792,21.57598169,1,0.01,0,0
Lebanon,LBN,Asia,Western Asia,Upper middle ,23,41600,4.877692308,0,4995.848048,0.748705882,17.14199286,2,37.4,1,1
Lesotho,LSO,Africa,Sub-Saharan Africa,NA,0,942,6.478461538,0,478.291778,0.4758125,23.70905082,1,0,0,0
Liberia,LBR,Africa,Sub-Saharan Africa,Low ,0,773,5.175384615,0,522.0985607,0.457347826,11.38092459,10,21.2,0,0
Libya,LBY,Africa,Northern Africa,NA,9,7782,2.783846154,0,8222.544978,0.7108125,62.34414518,2,98.1,0,0
Liechtenstein,LIE,Europe,Western Europe,NA,0,2007,NA,0,78440.65265,0.913954545,41.07456704,NA,0,0,NA
Lithuania,LTU,Europe,Northern Europe,High ,7,64629,7.376153846,0,11420.03393,0.80253125,27.16158395,7,0,1,0
Luxembourg,LUX,Europe,Western Europe,High ,8,25265,8.844615385,0,48309.5105,0.877625,13.75472734,3,0,1,NA
Macao,MAC,Asia,Eastern Asia,NA,8,2366,NA,0,32280.95338,NA,9.637980682,NA,0,2,NA
Macedonia,MKD,Europe,Southern Europe,Upper middle ,3,14274,5.975384615,0,3709.274551,0.718962963,23.81753288,9,30.1,0,0
Madagascar,MDG,Africa,Sub-Saharan Africa,Low ,3,5489,4.876923077,0,335.746134,0.48373913,19.65820031,2,1.7,0,NA
Malawi,MWI,Africa,Sub-Saharan Africa,Low ,2,9706,5.662307692,0,393.1236769,0.4185,20.99473424,2,16.2,0,1
Malaysia,MYS,Asia,South-eastern Asia,Upper middle ,503,391970,6.623846154,0,4135.143622,0.73921875,38.35021266,7,49.4,5,1
Maldives,MDV,Asia,Southern Asia,NA,0,509,NA,0,4283.391805,0.677185185,10.45471708,3,99.9,0,NA
Mali,MLI,Africa,Sub-Saharan Africa,Low ,1,4356,5.371538462,0,378.3897782,0.3538125,16.93959456,3,80,0,0
Malta,MLT,Europe,Southern Europe,High ,36,9730,8.172307692,0,12526.23224,0.825125,35.50296018,3,0,0,NA
Marshall Islands,MHL,Oceania,Micronesia,NA,0,131,NA,0,2734.652202,0.636,12.6648969,NA,0,0,NA
Martinique,MTQ,Americas,Latin America and the Caribbean,NA,0,925,NA,0,NA,NA,NA,NA,0.1,0,NA
Mauritania,MRT,Africa,Sub-Saharan Africa,Lower middle ,0,907,3.990769231,0,904.8245287,0.48959375,30.97090218,7,99.4,0,0
Mauritius,MUS,Africa,Sub-Saharan Africa,Upper middle ,1,4449,8.158461538,0,4976.508524,0.7231875,23.3785364,2,16.4,0,1
Mayotte,MYT,Africa,Sub-Saharan Africa,NA,0,113,NA,0,NA,NA,NA,NA,98.8,0,NA
Mexico,MEX,Americas,Latin America and the Caribbean,Upper middle ,77,388769,6.498461538,0,4825.68508,0.7264375,30.5657817,4,0,4,0
Moldova,MDA,Europe,Eastern Europe,Upper middle ,5,9254,6.145384615,0,2195.793186,0.6943125,21.25548405,1,0,0,0
Monaco,MCO,Europe,Western Europe,NA,0,2696,NA,0,99697.11478,NA,13.95829317,NA,0,0,NA
Mongolia,MNG,Asia,Eastern Asia,Lower middle ,4,6677,6.485384615,0,1965.837829,0.6544375,30.80191175,7,1.4,0,1
Montenegro,MNE,Europe,Southern Europe,NA,4,5758,5.952307692,0,6144.146621,0.806421053,16.93658409,NA,NA,0,0
Montserrat,MSR,Americas,Latin America and the Caribbean,NA,0,133,NA,0,NA,NA,NA,NA,NA,0,NA
Morocco,MAR,Africa,Northern Africa,Lower middle ,33,88034,4.47,0,1520.760958,0.568875,26.91887212,17,99.4,0,0
Mozambique,MOZ,Africa,Sub-Saharan Africa,Low ,2,5425,4.366153846,0,418.5253585,0.35228125,18.2486452,1,13,0,0
Myanmar,MMR,Asia,South-eastern Asia,Lower middle ,6,5269,2.852307692,0,318.7782137,0.46775,27.1745794,5,3.6,0,1
Namibia,NAM,Africa,Sub-Saharan Africa,Upper middle ,1,4849,6.332307692,0,3337.972678,0.58596875,28.60679273,1,0,0,0
Nauru,NRU,Oceania,Micronesia,NA,0,30,NA,0,9152.904682,NA,NA,NA,NA,0,NA
